Fayl      : dataset/HerbaceousVegetation/HerbaceousVegetation_3.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000024           bm3d        -
      B2           n/a    0.001222           bm3d        -
      B3           n/a    0.001018           bm3d        -
      B4           n/a    0.001292           bm3d        -
      B5           n/a    0.000030           bm3d        -
      B6           n/a    0.000031           bm3d        -
      B7           n/a    0.000035           bm3d        -
      B8           n/a    0.003633           bm3d        -
     B8A           n/a    0.000027           bm3d        -
      B9           n/a    0.000019           bm3d        -
     B10           n/a    0.000031           bm3d        -
     B11           n/a    0.000029           bm3d        -
     B12           n/a    0.000034           bm3d        -
