Fayl      : dataset/HerbaceousVegetation/HerbaceousVegetation_1.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000027           bm3d        -
      B2           n/a    0.001102           bm3d        -
      B3           n/a    0.001299           bm3d        -
      B4           n/a    0.001965           bm3d        -
      B5           n/a    0.000030           bm3d        -
      B6           n/a    0.000030           bm3d        -
      B7           n/a    0.000030           bm3d        -
      B8           n/a    0.001975           bm3d        -
     B8A           n/a    0.000025           bm3d        -
      B9           n/a    0.000012           bm3d        -
     B10           n/a    0.000029           bm3d        -
     B11           n/a    0.000029           bm3d        -
     B12           n/a    0.000028           bm3d        -
